sep=|
#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
26376041|2021-04-04T00:06:54.660000|41.031|14.5867|9.7|SURVEY-INGV||||ML|1.4|--|1 km SE Paolisi (BN)
26376011|2021-04-04T00:07:07.630000|43.3937|12.49|7.3|SURVEY-INGV||||ML|1.1|--|7 km SE Pietralunga (PG)
26376071|2021-04-04T00:10:54.200000|41.0318|14.5053|7.7|SURVEY-INGV||||ML|2.4|--|1 km NE Arienzo (CE)
26376111|2021-04-04T00:29:33.550000|41.0278|14.5602|9.2|SURVEY-INGV||||ML|1.6|--|1 km SE Arpaia (BN)
26376151|2021-04-04T00:31:00.240000|41.0078|14.5527|8.4|SURVEY-INGV||||ML|2.0|--|3 km SE Forchia (BN)
26376201|2021-04-04T00:53:28.060000|38.3505|14.5878|10.0|SURVEY-INGV||||ML|1.4|--|Costa Siciliana nord-orientale (Messina)
26376331|2021-04-04T02:53:12.120000|39.9878|15.996|14.2|SURVEY-INGV||||ML|1.4|--|3 km SE Castelluccio Inferiore (PZ)
26376431|2021-04-04T03:53:33.760000|37.745|14.998|0.0|SURVEY-INGV-CT#SeismPicker_SO-OE||||ML|1.1|--|11 km W Milo (CT)
26376511|2021-04-04T04:24:15.220000|43.6127|12.0958|8.7|SURVEY-INGV||||ML|0.6|--|6 km NW Sansepolcro (AR)
26376551|2021-04-04T05:01:35.290000|43.3958|12.4673|6.1|SURVEY-INGV||||ML|0.9|--|6 km SE Pietralunga (PG)
26376621|2021-04-04T05:12:25.210000|43.3913|12.4908|6.5|SURVEY-INGV||||ML|0.6|--|7 km SE Pietralunga (PG)
26376701|2021-04-04T06:17:01.110000|42.5553|12.706|9.6|SURVEY-INGV||||ML|0.9|--|5 km E Terni (TR)
26376871|2021-04-04T07:29:11.370000|42.6677|16.1673|9.9|SURVEY-INGV||||ML|3.6|--|Adriatico Centrale (MARE)
26377041|2021-04-04T07:38:24.120000|37.9432|14.3497|10.0|SURVEY-INGV||||ML|1.0|--|2 km NW Mistretta (ME)
26377091|2021-04-04T07:48:59.410000|43.3907|12.5263|7.1|SURVEY-INGV||||ML|1.3|--|6 km NW Gubbio (PG)
26377291|2021-04-04T08:27:49.930000|42.866|13.1725|11.4|SURVEY-INGV||||ML|1.1|--|4 km SE Castelsantangelo sul Nera (MC)
26377361|2021-04-04T08:43:14.720000|38.4357|13.0078|11.1|SURVEY-INGV||||ML|1.7|--|Tirreno Meridionale (MARE)
26378251|2021-04-04T10:40:42.180000|43.2022|11.0425|8.1|SURVEY-INGV||||ML|1.9|--|6 km NW Chiusdino (SI)
26378631|2021-04-04T12:18:13.160000|43.081|13.1157|12.7|SURVEY-INGV||||ML|2.0|--|3 km NE Pievebovigliana (MC)
26378821|2021-04-04T13:13:35.120000|43.2122|11.0297|7.4|SURVEY-INGV||||ML|1.4|--|6 km S Radicondoli (SI)
26379081|2021-04-04T13:58:12.510000|45.2853|11.6438|9.2|SURVEY-INGV||||ML|2.7|--|1 km SE Lozzo Atestino (PD)
26379321|2021-04-04T14:38:58.010000|46.3522|12.8918|10.4|SURVEY-INGV||||ML|0.8|--|5 km SE Preone (UD)
26379751|2021-04-04T15:47:47.690000|38.8003|16.1823|7.4|SURVEY-INGV||||ML|2.3|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)
26379931|2021-04-04T16:04:52.330000|38.7962|16.1833|7.8|SURVEY-INGV||||ML|1.4|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)
26380411|2021-04-04T17:07:42.170000|43.3992|12.4653|8.1|SURVEY-INGV||||ML|1.3|--|5 km SE Pietralunga (PG)
26380441|2021-04-04T17:11:55.160000|43.4042|12.4688|6.7|SURVEY-INGV||||ML|1.5|--|5 km SE Pietralunga (PG)
26380671|2021-04-04T18:02:13.100000|42.7828|13.218|11.3|SURVEY-INGV||||ML|1.6|--|7 km W Arquata del Tronto (AP)
26380871|2021-04-04T19:01:13.850000|42.8245|13.1267|3.9|SURVEY-INGV||||ML|0.9|--|4 km NE Norcia (PG)
